Combination,Number
"Cardiomegaly, Edema, Fracture",50
"Cardiomegaly, Edema, Lung Lesion",34
"Cardiomegaly, Edema, Lung Opacity",600
"Cardiomegaly, Edema, Pleural Effusion",2582
"Cardiomegaly, Edema, Pleural Other",25
"Cardiomegaly, Edema, Pneumonia",338
"Cardiomegaly, Edema, Pneumothorax",48
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture",41
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion",35
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity",244
"Cardiomegaly, Enlarged Cardiomediastinum, Pleural Effusion",301
"Cardiomegaly, Enlarged Cardiomediastinum, Pleural Other",6
"Cardiomegaly, Enlarged Cardiomediastinum, Pneumonia",32
"Cardiomegaly, Enlarged Cardiomediastinum, Pneumothorax",64
"Cardiomegaly, Fracture, Lung Lesion",7
"Cardiomegaly, Fracture, Lung Opacity",35
"Cardiomegaly, Fracture, Pleural Effusion",42
"Cardiomegaly, Fracture, Pleural Other",11
"Cardiomegaly, Fracture, Pneumonia",5
"Cardiomegaly, Fracture, Pneumothorax",19
"Cardiomegaly, Lung Lesion, Lung Opacity",69
"Cardiomegaly, Lung Lesion, Pleural Effusion",66
"Cardiomegaly, Lung Lesion, Pleural Other",3
"Cardiomegaly, Lung Lesion, Pneumonia",7
"Cardiomegaly, Lung Lesion, Pneumothorax",5
"Cardiomegaly, Lung Opacity, Pleural Effusion",1001
"Cardiomegaly, Lung Opacity, Pleural Other",52
"Cardiomegaly, Lung Opacity, Pneumonia",433
"Cardiomegaly, Lung Opacity, Pneumothorax",125
"Cardiomegaly, Pleural Effusion, Pleural Other",60
"Cardiomegaly, Pleural Effusion, Pneumonia",112
"Cardiomegaly, Pleural Effusion, Pneumothorax",182
"Cardiomegaly, Pleural Other, Pneumonia",4
"Cardiomegaly, Pleural Other, Pneumothorax",7
"Cardiomegaly, Pneumonia, Pneumothorax",7
"Consolidation, Edema, Enlarged Cardiomediastinum",22
"Consolidation, Edema, Lung Lesion",4
"Consolidation, Edema, Lung Opacity",85
"Consolidation, Edema, Pleural Effusion",235
"Consolidation, Edema, Pleural Other",3
"Consolidation, Edema, Pneumonia",175
"Consolidation, Edema, Pneumothorax",5
"Consolidation, Enlarged Cardiomediastinum, Fracture",3
"Consolidation, Enlarged Cardiomediastinum, Lung Lesion",9
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity",36
"Consolidation, Enlarged Cardiomediastinum, Pleural Effusion",93
"Consolidation, Enlarged Cardiomediastinum, Pleural Other",3
"Consolidation, Enlarged Cardiomediastinum, Pneumonia",66
"Consolidation, Enlarged Cardiomediastinum, Pneumothorax",10
"Consolidation, Fracture, Lung Opacity",5
"Consolidation, Fracture, Pleural Effusion",10
"Consolidation, Fracture, Pneumonia",4
"Consolidation, Fracture, Pneumothorax",7
"Consolidation, Lung Lesion, Lung Opacity",43
"Consolidation, Lung Lesion, Pleural Effusion",53
"Consolidation, Lung Lesion, Pneumonia",39
"Consolidation, Lung Lesion, Pneumothorax",5
"Consolidation, Lung Opacity, Pleural Effusion",203
"Consolidation, Lung Opacity, Pleural Other",12
"Consolidation, Lung Opacity, Pneumonia",237
"Consolidation, Lung Opacity, Pneumothorax",24
"Consolidation, Pleural Effusion, Pleural Other",5
"Consolidation, Pleural Effusion, Pneumonia",310
"Consolidation, Pleural Effusion, Pneumothorax",70
"Consolidation, Pleural Other, Pneumonia",9
"Consolidation, Pleural Other, Pneumothorax",1
"Consolidation, Pneumonia, Pneumothorax",13
"Edema, Enlarged Cardiomediastinum, Fracture",3
"Edema, Enlarged Cardiomediastinum, Lung Lesion",4
"Edema, Enlarged Cardiomediastinum, Lung Opacity",91
"Edema, Enlarged Cardiomediastinum, Pleural Effusion",301
"Edema, Enlarged Cardiomediastinum, Pleural Other",1
"Edema, Enlarged Cardiomediastinum, Pneumonia",32
"Edema, Enlarged Cardiomediastinum, Pneumothorax",14
"Edema, Fracture, Lung Lesion",1
"Edema, Fracture, Lung Opacity",11
"Edema, Fracture, Pleural Effusion",23
"Edema, Fracture, Pleural Other",1
"Edema, Fracture, Pneumonia",6
"Edema, Fracture, Pneumothorax",2
"Edema, Lung Lesion, Lung Opacity",47
"Edema, Lung Lesion, Pleural Effusion",35
"Edema, Lung Lesion, Pleural Other",1
"Edema, Lung Lesion, Pneumonia",15
"Edema, Lung Lesion, Pneumothorax",2
"Edema, Lung Opacity, Pleural Effusion",639
"Edema, Lung Opacity, Pleural Other",17
"Edema, Lung Opacity, Pneumonia",1348
"Edema, Lung Opacity, Pneumothorax",35
"Edema, Pleural Effusion, Pleural Other",28
"Edema, Pleural Effusion, Pneumonia",272
"Edema, Pleural Effusion, Pneumothorax",73
"Edema, Pleural Other, Pneumonia",11
"Edema, Pleural Other, Pneumothorax",3
"Edema, Pneumonia, Pneumothorax",10
"Enlarged Cardiomediastinum, Fracture, Lung Lesion",2
"Enlarged Cardiomediastinum, Fracture, Lung Opacity",11
"Enlarged Cardiomediastinum, Fracture, Pleural Effusion",12
"Enlarged Cardiomediastinum, Fracture, Pneumonia",3
"Enlarged Cardiomediastinum, Fracture, Pneumothorax",7
"Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",44
"Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",28
"Enlarged Cardiomediastinum, Lung Lesion, Pleural Other",4
"Enlarged Cardiomediastinum, Lung Lesion, Pneumonia",4
"Enlarged Cardiomediastinum, Lung Lesion, Pneumothorax",4
"Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",237
"Enlarged Cardiomediastinum, Lung Opacity, Pleural Other",14
"Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",131
"Enlarged Cardiomediastinum, Lung Opacity, Pneumothorax",60
"Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other",26
"Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",12
"Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",60
"Enlarged Cardiomediastinum, Pleural Other, Pneumonia",1
"Enlarged Cardiomediastinum, Pneumonia, Pneumothorax",5
"Fracture, Lung Lesion, Lung Opacity",15
"Fracture, Lung Lesion, Pleural Effusion",4
"Fracture, Lung Lesion, Pleural Other",1
"Fracture, Lung Lesion, Pneumothorax",1
"Fracture, Lung Opacity, Pleural Effusion",40
"Fracture, Lung Opacity, Pleural Other",11
"Fracture, Lung Opacity, Pneumonia",42
"Fracture, Lung Opacity, Pneumothorax",24
"Fracture, Pleural Effusion, Pleural Other",12
"Fracture, Pleural Effusion, Pneumonia",2
"Fracture, Pleural Effusion, Pneumothorax",42
"Fracture, Pleural Other, Pneumothorax",3
"Fracture, Pneumonia, Pneumothorax",1
"Lung Lesion, Lung Opacity, Pleural Effusion",148
"Lung Lesion, Lung Opacity, Pleural Other",16
"Lung Lesion, Lung Opacity, Pneumonia",352
"Lung Lesion, Lung Opacity, Pneumothorax",20
"Lung Lesion, Pleural Effusion, Pleural Other",17
"Lung Lesion, Pleural Effusion, Pneumonia",14
"Lung Lesion, Pleural Effusion, Pneumothorax",22
"Lung Lesion, Pleural Other, Pneumonia",2
"Lung Opacity, Pleural Effusion, Pleural Other",54
"Lung Opacity, Pleural Effusion, Pneumonia",819
"Lung Opacity, Pleural Effusion, Pneumothorax",207
"Lung Opacity, Pleural Other, Pneumonia",58
"Lung Opacity, Pleural Other, Pneumothorax",5
"Lung Opacity, Pneumonia, Pneumothorax",60
"Pleural Effusion, Pleural Other, Pneumonia",15
"Pleural Effusion, Pleural Other, Pneumothorax",13
"Pleural Effusion, Pneumonia, Pneumothorax",12
"Pleural Other, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Consolidation, Edema",64
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum",22
"Atelectasis, Cardiomegaly, Consolidation, Fracture",2
"Atelectasis, Cardiomegaly, Consolidation, Lung Lesion",1
"Atelectasis, Cardiomegaly, Consolidation, Lung Opacity",49
"Atelectasis, Cardiomegaly, Consolidation, Pleural Effusion",165
"Atelectasis, Cardiomegaly, Consolidation, Pneumonia",51
"Atelectasis, Cardiomegaly, Consolidation, Pneumothorax",5
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum",75
"Atelectasis, Cardiomegaly, Edema, Fracture",13
"Atelectasis, Cardiomegaly, Edema, Lung Lesion",3
"Atelectasis, Cardiomegaly, Edema, Lung Opacity",272
"Atelectasis, Cardiomegaly, Edema, Pleural Effusion",1848
"Atelectasis, Cardiomegaly, Edema, Pleural Other",5
"Atelectasis, Cardiomegaly, Edema, Pneumonia",54
"Atelectasis, Cardiomegaly, Edema, Pneumothorax",32
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture",4
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion",4
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity",120
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Pleural Effusion",298
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Pleural Other",4
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Pneumonia",28
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Pneumothorax",30
"Atelectasis, Cardiomegaly, Fracture, Lung Opacity",14
"Atelectasis, Cardiomegaly, Fracture, Pleural Effusion",62
"Atelectasis, Cardiomegaly, Fracture, Pleural Other",2
"Atelectasis, Cardiomegaly, Fracture, Pneumonia",1
"Atelectasis, Cardiomegaly, Fracture, Pneumothorax",14
"Atelectasis, Cardiomegaly, Lung Lesion, Lung Opacity",30
"Atelectasis, Cardiomegaly, Lung Lesion, Pleural Effusion",50
"Atelectasis, Cardiomegaly, Lung Lesion, Pneumonia",2
"Atelectasis, Cardiomegaly, Lung Lesion, Pneumothorax",2
"Atelectasis, Cardiomegaly, Lung Opacity, Pleural Effusion",984
"Atelectasis, Cardiomegaly, Lung Opacity, Pleural Other",14
"Atelectasis, Cardiomegaly, Lung Opacity, Pneumonia",369
"Atelectasis, Cardiomegaly, Lung Opacity, Pneumothorax",35
"Atelectasis, Cardiomegaly, Pleural Effusion, Pleural Other",17
"Atelectasis, Cardiomegaly, Pleural Effusion, Pneumonia",122
"Atelectasis, Cardiomegaly, Pleural Effusion, Pneumothorax",178
"Atelectasis, Cardiomegaly, Pleural Other, Pneumothorax",2
"Atelectasis, Cardiomegaly, Pneumonia, Pneumothorax",1
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum",6
"Atelectasis, Consolidation, Edema, Fracture",1
"Atelectasis, Consolidation, Edema, Lung Opacity",52
"Atelectasis, Consolidation, Edema, Pleural Effusion",187
"Atelectasis, Consolidation, Edema, Pleural Other",1
"Atelectasis, Consolidation, Edema, Pneumonia",48
"Atelectasis, Consolidation, Edema, Pneumothorax",7
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Lesion",2
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Opacity",46
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion",81
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Pleural Other",2
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Pneumonia",18
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Pneumothorax",9
"Atelectasis, Consolidation, Fracture, Lung Opacity",6
"Atelectasis, Consolidation, Fracture, Pleural Effusion",9
"Atelectasis, Consolidation, Fracture, Pneumonia",5
"Atelectasis, Consolidation, Fracture, Pneumothorax",3
"Atelectasis, Consolidation, Lung Lesion, Lung Opacity",16
"Atelectasis, Consolidation, Lung Lesion, Pleural Effusion",31
"Atelectasis, Consolidation, Lung Lesion, Pneumonia",3
"Atelectasis, Consolidation, Lung Opacity, Pleural Effusion",353
"Atelectasis, Consolidation, Lung Opacity, Pleural Other",3
"Atelectasis, Consolidation, Lung Opacity, Pneumonia",143
"Atelectasis, Consolidation, Lung Opacity, Pneumothorax",14
"Atelectasis, Consolidation, Pleural Effusion, Pleural Other",3
"Atelectasis, Consolidation, Pleural Effusion, Pneumonia",265
"Atelectasis, Consolidation, Pleural Effusion, Pneumothorax",53
"Atelectasis, Consolidation, Pleural Other, Pneumonia",1
"Atelectasis, Consolidation, Pneumonia, Pneumothorax",7
"Atelectasis, Edema, Enlarged Cardiomediastinum, Fracture",2
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Lesion",1
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity",59
"Atelectasis, Edema, Enlarged Cardiomediastinum, Pleural Effusion",233
"Atelectasis, Edema, Enlarged Cardiomediastinum, Pneumonia",1
"Atelectasis, Edema, Enlarged Cardiomediastinum, Pneumothorax",8
"Atelectasis, Edema, Fracture, Lung Lesion",1
"Atelectasis, Edema, Fracture, Lung Opacity",2
"Atelectasis, Edema, Fracture, Pleural Effusion",17
"Atelectasis, Edema, Fracture, Pneumonia",1
"Atelectasis, Edema, Fracture, Pneumothorax",2
"Atelectasis, Edema, Lung Lesion, Lung Opacity",10
"Atelectasis, Edema, Lung Lesion, Pleural Effusion",20
"Atelectasis, Edema, Lung Lesion, Pneumonia",1
"Atelectasis, Edema, Lung Lesion, Pneumothorax",1
"Atelectasis, Edema, Lung Opacity, Pleural Effusion",623
"Atelectasis, Edema, Lung Opacity, Pleural Other",6
"Atelectasis, Edema, Lung Opacity, Pneumonia",409
"Atelectasis, Edema, Lung Opacity, Pneumothorax",27
"Atelectasis, Edema, Pleural Effusion, Pleural Other",13
"Atelectasis, Edema, Pleural Effusion, Pneumonia",139
"Atelectasis, Edema, Pleural Effusion, Pneumothorax",63
"Atelectasis, Edema, Pleural Other, Pneumonia",2
"Atelectasis, Edema, Pleural Other, Pneumothorax",1
"Atelectasis, Edema, Pneumonia, Pneumothorax",2
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Lesion",1
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity",16
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",19
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Pneumonia",3
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Pneumothorax",4
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",18
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",19
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Pneumothorax",4
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",375
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other",8
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",259
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pneumothorax",54
"Atelectasis, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other",9
"Atelectasis, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",17
"Atelectasis, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",135
"Atelectasis, Enlarged Cardiomediastinum, Pneumonia, Pneumothorax",2
"Atelectasis, Fracture, Lung Lesion, Lung Opacity",4
"Atelectasis, Fracture, Lung Lesion, Pleural Effusion",3
"Atelectasis, Fracture, Lung Opacity, Pleural Effusion",39
"Atelectasis, Fracture, Lung Opacity, Pneumonia",30
"Atelectasis, Fracture, Lung Opacity, Pneumothorax",19
"Atelectasis, Fracture, Pleural Effusion, Pleural Other",4
"Atelectasis, Fracture, Pleural Effusion, Pneumonia",5
"Atelectasis, Fracture, Pleural Effusion, Pneumothorax",29
"Atelectasis, Fracture, Pleural Other, Pneumothorax",2
"Atelectasis, Fracture, Pneumonia, Pneumothorax",2
"Atelectasis, Lung Lesion, Lung Opacity, Pleural Effusion",95
"Atelectasis, Lung Lesion, Lung Opacity, Pneumonia",103
"Atelectasis, Lung Lesion, Lung Opacity, Pneumothorax",13
"Atelectasis, Lung Lesion, Pleural Effusion, Pleural Other",3
"Atelectasis, Lung Lesion, Pleural Effusion, Pneumonia",12
"Atelectasis, Lung Lesion, Pleural Effusion, Pneumothorax",10
"Atelectasis, Lung Lesion, Pleural Other, Pneumonia",1
"Atelectasis, Lung Opacity, Pleural Effusion, Pleural Other",27
"Atelectasis, Lung Opacity, Pleural Effusion, Pneumonia",1407
"Atelectasis, Lung Opacity, Pleural Effusion, Pneumothorax",168
"Atelectasis, Lung Opacity, Pleural Other, Pneumonia",16
"Atelectasis, Lung Opacity, Pleural Other, Pneumothorax",3
"Atelectasis, Lung Opacity, Pneumonia, Pneumothorax",42
"Atelectasis, Pleural Effusion, Pleural Other, Pneumonia",4
"Atelectasis, Pleural Effusion, Pleural Other, Pneumothorax",4
"Atelectasis, Pleural Effusion, Pneumonia, Pneumothorax",8
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum",31
"Cardiomegaly, Consolidation, Edema, Fracture",2
"Cardiomegaly, Consolidation, Edema, Lung Lesion",2
"Cardiomegaly, Consolidation, Edema, Lung Opacity",49
"Cardiomegaly, Consolidation, Edema, Pleural Effusion",220
"Cardiomegaly, Consolidation, Edema, Pleural Other",2
"Cardiomegaly, Consolidation, Edema, Pneumonia",89
"Cardiomegaly, Consolidation, Edema, Pneumothorax",5
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture",6
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion",8
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity",50
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion",146
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pleural Other",1
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pneumonia",51
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pneumothorax",9
"Cardiomegaly, Consolidation, Fracture, Lung Opacity",3
"Cardiomegaly, Consolidation, Fracture, Pleural Effusion",2
"Cardiomegaly, Consolidation, Fracture, Pneumothorax",1
"Cardiomegaly, Consolidation, Lung Lesion, Lung Opacity",6
"Cardiomegaly, Consolidation, Lung Lesion, Pleural Effusion",10
"Cardiomegaly, Consolidation, Lung Lesion, Pneumonia",6
"Cardiomegaly, Consolidation, Lung Opacity, Pleural Effusion",63
"Cardiomegaly, Consolidation, Lung Opacity, Pneumonia",34
"Cardiomegaly, Consolidation, Lung Opacity, Pneumothorax",8
"Cardiomegaly, Consolidation, Pleural Effusion, Pleural Other",4
"Cardiomegaly, Consolidation, Pleural Effusion, Pneumonia",120
"Cardiomegaly, Consolidation, Pleural Effusion, Pneumothorax",12
"Cardiomegaly, Consolidation, Pleural Other, Pneumonia",1
"Cardiomegaly, Consolidation, Pneumonia, Pneumothorax",2
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture",7
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion",3
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity",92
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pleural Effusion",334
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pleural Other",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pneumonia",20
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pneumothorax",6
"Cardiomegaly, Edema, Fracture, Lung Lesion",1
"Cardiomegaly, Edema, Fracture, Lung Opacity",6
"Cardiomegaly, Edema, Fracture, Pleural Effusion",30
"Cardiomegaly, Edema, Fracture, Pleural Other",4
"Cardiomegaly, Edema, Fracture, Pneumonia",10
"Cardiomegaly, Edema, Fracture, Pneumothorax",8
"Cardiomegaly, Edema, Lung Lesion, Lung Opacity",33
"Cardiomegaly, Edema, Lung Lesion, Pleural Effusion",34
"Cardiomegaly, Edema, Lung Lesion, Pneumonia",7
"Cardiomegaly, Edema, Lung Lesion, Pneumothorax",1
"Cardiomegaly, Edema, Lung Opacity, Pleural Effusion",730
"Cardiomegaly, Edema, Lung Opacity, Pleural Other",12
"Cardiomegaly, Edema, Lung Opacity, Pneumonia",542
"Cardiomegaly, Edema, Lung Opacity, Pneumothorax",20
"Cardiomegaly, Edema, Pleural Effusion, Pleural Other",25
"Cardiomegaly, Edema, Pleural Effusion, Pneumonia",205
"Cardiomegaly, Edema, Pleural Effusion, Pneumothorax",81
"Cardiomegaly, Edema, Pleural Other, Pneumonia",2
"Cardiomegaly, Edema, Pneumonia, Pneumothorax",4
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Opacity",3
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",12
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Pleural Other",1
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Pneumonia",2
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Pneumothorax",4
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",31
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",11
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Pleural Other",1
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Pneumothorax",1
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",145
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other",4
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",118
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pneumothorax",22
"Cardiomegaly, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other",10
"Cardiomegaly, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",7
